Key,Title,Side Effects,% of Side Effects, Labels,% of Labels,ParentKey,Url
nd0,"A - ALIMENTARY TRACT AND METABOLISM",1907,32.43,4051,13.39,null,
nd1,"A01 - STOMATOLOGICAL PREPARATIONS",772,13.13,809,2.67,nd0,
nd2,"A01A - STOMATOLOGICAL PREPARATIONS",772,13.13,809,2.67,nd1,
nd3,"A01AB - Antiinfectives and antiseptics for local oral treatment",580,9.86,486,1.61,nd2,
A01AB4,"Amphotericin B",301,5.12,10,0.03,nd3,http://sideeffects.embl.de/drugs/1972
A01AB5,"Chlorhexidine",52,0.88,18,0.06,nd3,http://sideeffects.embl.de/drugs/2713
A01AB6,"Clotrimazole",21,0.36,21,0.07,nd3,http://sideeffects.embl.de/drugs/2812
A01AB7,"Doxycycline",150,2.55,177,0.59,nd3,http://sideeffects.embl.de/drugs/25880656
A01AB8,"Metronidazole",212,3.61,155,0.51,nd3,http://sideeffects.embl.de/drugs/4173
A01AB9,"Miconazole",57,0.97,7,0.02,nd3,http://sideeffects.embl.de/drugs/4189
A01AB10,"Minocycline",136,2.31,70,0.23,nd3,http://sideeffects.embl.de/drugs/26275995
A01AB11,"Natamycin",12,0.2,2,0.01,nd3,http://sideeffects.embl.de/drugs/441382
A01AB12,"Neomycin",21,0.36,9,0.03,nd3,http://sideeffects.embl.de/drugs/4454
A01AB13,"Tetracycline",37,0.63,17,0.06,nd3,http://sideeffects.embl.de/drugs/25880664
nd14,"A01AC - Corticosteroids for local oral treatment",291,4.95,266,0.88,nd2,
A01AC15,"Cortisol",197,3.35,113,0.37,nd14,http://sideeffects.embl.de/drugs/3640
A01AC16,"Dexamethasone",215,3.66,124,0.41,nd14,http://sideeffects.embl.de/drugs/3003
A01AC17,"Triamcinolone",150,2.55,29,0.1,nd14,http://sideeffects.embl.de/drugs/5544
nd18,"A01AD - Other agents for local oral treatment",133,2.26,57,0.19,nd2,
A01AD19,"Amlexanox",10,0.17,1,0.0,nd18,http://sideeffects.embl.de/drugs/2161
A01AD20,"Aspirin",68,1.16,20,0.07,nd18,http://sideeffects.embl.de/drugs/2244
A01AD21,"Benzydamine",9,0.15,1,0.0,nd18,http://sideeffects.embl.de/drugs/12555
A01AD22,"Epinephrine",67,1.14,35,0.12,nd18,http://sideeffects.embl.de/drugs/838
nd23,"A02 - DRUGS FOR ACID RELATED DISORDERS",704,11.97,667,2.2,nd0,
nd24,"A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)",704,11.97,667,2.2,nd23,
nd25,"A02BA - H",203,3.45,274,0.91,nd24,
A02BA26,"Cimetidine",64,1.09,29,0.1,nd25,http://sideeffects.embl.de/drugs/2756
A02BA27,"Famotidine",116,1.97,104,0.34,nd25,http://sideeffects.embl.de/drugs/3325
A02BA28,"Nizatidine",61,1.04,20,0.07,nd25,http://sideeffects.embl.de/drugs/4513
A02BA29,"Ranitidine",90,1.53,121,0.4,nd25,http://sideeffects.embl.de/drugs/5039
nd30,"A02BB - Prostaglandins",99,1.68,22,0.07,nd24,
A02BB31,"Misoprostol",99,1.68,22,0.07,nd30,http://sideeffects.embl.de/drugs/42955
nd32,"A02BC - Proton pump inhibitors",620,10.54,371,1.23,nd24,
A02BC33,"Lansoprazole",374,6.36,61,0.2,nd32,http://sideeffects.embl.de/drugs/3883
